date,state,district,total_enrolment,total_demo_updates,total_bio_updates,migration_pressure_index,system_load
2025-04-01,Assam,Bongaigaon,369,4355,5647,27.032432432432433,10002
2025-04-01,Bihar,Bhagalpur,1238,5302,24587,24.123486682808718,29889
2025-04-01,Chandigarh,Chandigarh,117,14885,7921,193.27118644067798,22806
2025-04-01,Chhattisgarh,Durg,384,6115,19191,65.72987012987014,25306
2025-04-01,Chhattisgarh,Raipur,322,10348,19183,91.42724458204334,29531
2025-04-01,Delhi,Central Delhi,133,13519,10564,179.72388059701493,24083
2025-04-01,Delhi,East Delhi,912,39636,26553,72.49616648411829,66189
2025-04-01,Delhi,North West Delhi,1306,62980,65071,97.97322111706197,128051
2025-04-01,Delhi,Shahdara,319,4891,1624,20.359375,6515
2025-04-01,Delhi,South Delhi,563,55359,52703,191.59929078014184,108062
2025-04-01,Delhi,South West Delhi,825,37166,27687,78.51452784503633,64853
2025-04-01,Delhi,West Delhi,1872,48087,35806,44.79071009076348,83893
2025-04-01,Gujarat,Ahmedabad,122,21671,45881,549.2032520325204,67552
2025-04-01,Gujarat,Gandhinagar,789,5148,9207,18.170886075949365,14355
2025-04-01,Gujarat,Kachchh,907,5642,16204,24.059471365638768,21846
2025-04-01,Gujarat,Mahesana,553,1946,9334,20.36101083032491,11280
2025-04-01,Gujarat,Morbi,1171,2526,4223,5.758532423208191,6749
2025-04-01,Gujarat,Rajkot,1967,8641,19458,14.277947154471544,28099
2025-04-01,Gujarat,Surat,4188,25952,37431,15.130818811172118,63383
2025-04-01,Gujarat,Valsad,904,632,10784,12.614364640883977,11416
2025-04-01,Haryana,Faridabad,1606,19519,15025,21.495955196017423,34544
2025-04-01,Haryana,Gurgaon,722,18043,8888,37.24896265560166,26931
2025-04-01,Jammu and Kashmir,Punch,211,3863,5839,45.764150943396224,9702
2025-04-01,Jharkhand,Ranchi,1120,6126,33609,35.44603033006244,39735
2025-04-01,Karnataka,Bengaluru,7847,23001,39369,7.947247706422019,62370
2025-04-01,Karnataka,Kalaburagi,608,2626,7075,15.929392446633827,9701
2025-04-01,Karnataka,Mysuru,485,3635,6868,21.61111111111111,10503
2025-04-01,Karnataka,Yadgir,646,1240,7143,12.956723338485316,8383
2025-04-01,Madhya Pradesh,Ashok Nagar,531,5364,12444,33.473684210526315,17808
2025-04-01,Madhya Pradesh,Barwani,820,10362,27534,46.158343483556635,37896
2025-04-01,Madhya Pradesh,Betul,223,3328,22093,113.48660714285714,25421
2025-04-01,Madhya Pradesh,Bhopal,383,10634,21417,83.46614583333333,32051
2025-04-01,Madhya Pradesh,Chhatarpur,850,2852,23269,30.694477085781433,26121
2025-04-01,Madhya Pradesh,Dewas,502,2698,14301,33.79522862823062,16999
2025-04-01,Madhya Pradesh,Dhar,619,4130,19775,38.556451612903224,23905
2025-04-01,Madhya Pradesh,Guna,784,3810,17153,26.704458598726113,20963
2025-04-01,Madhya Pradesh,Gwalior,1338,1788,16700,13.807318894697536,18488
