date,state,district,total_enrolment,total_demo_updates,total_bio_updates,migration_pressure_index
2025-11-04,Maharashtra,Nashik,1,6397,4685,5541.0
2025-11-04,Maharashtra,Ahmadnagar,1,8133,2482,5307.5
2025-11-04,Maharashtra,Nanded,2,8636,1882,3506.0
2025-11-04,Maharashtra,Solapur,2,6942,1664,2868.6666666666665
2025-11-04,Maharashtra,Parbhani,1,3722,1594,2658.0
2025-11-04,Tamil Nadu,Tiruvallur,1,1797,3044,2420.5
2025-11-04,Maharashtra,Latur,1,3577,1170,2373.5
2025-11-04,Tamil Nadu,Kancheepuram,1,2078,2200,2139.0
2025-11-04,Maharashtra,Thane,5,7508,4460,1994.6666666666667
2025-11-04,Telangana,Mahabubnagar,1,1467,2478,1972.5
