date,state,district,total_enrolment,total_demo_updates,total_bio_updates,migration_pressure_index,system_load
2025-11-04,Maharashtra,Nashik,1,6397,4685,5541.0,11082
2025-11-04,Maharashtra,Ahmadnagar,1,8133,2482,5307.5,10615
2025-11-04,Maharashtra,Nanded,2,8636,1882,3506.0,10518
2025-11-04,Maharashtra,Solapur,2,6942,1664,2868.6666666666665,8606
2025-11-04,Maharashtra,Parbhani,1,3722,1594,2658.0,5316
2025-11-04,Tamil Nadu,Tiruvallur,1,1797,3044,2420.5,4841
2025-11-04,Maharashtra,Latur,1,3577,1170,2373.5,4747
2025-11-04,Tamil Nadu,Kancheepuram,1,2078,2200,2139.0,4278
2025-11-04,Maharashtra,Thane,5,7508,4460,1994.6666666666667,11968
2025-11-04,Telangana,Mahabubnagar,1,1467,2478,1972.5,3945
2025-11-04,Maharashtra,Jalna,1,2615,1272,1943.5,3887
2025-11-04,Tamil Nadu,Tirunelveli,1,1313,2527,1920.0,3840
2025-11-04,Maharashtra,Pune,4,5364,3740,1820.8,9104
2025-11-04,Maharashtra,Sangli,1,1797,1534,1665.5,3331
2025-11-04,Andhra Pradesh,East Godavari,1,596,2543,1569.5,3139
2025-11-04,West Bengal,Jalpaiguri,1,2556,540,1548.0,3096
2025-11-04,Andhra Pradesh,West Godavari,1,1327,1717,1522.0,3044
2025-11-04,Maharashtra,Amravati,2,3080,1469,1516.3333333333333,4549
2025-11-04,Telangana,K.v. Rangareddy,2,1771,2689,1486.6666666666667,4460
2025-11-04,Andhra Pradesh,Chittoor,2,746,3705,1483.6666666666667,4451
2025-11-04,Maharashtra,Mumbai,3,2730,2900,1407.5,5630
2025-11-04,Maharashtra,Aurangabad,3,4252,1320,1393.0,5572
2025-11-04,Telangana,Karimnagar,1,1070,1690,1380.0,2760
2025-11-04,Andhra Pradesh,Krishna,1,709,1955,1332.0,2664
2025-11-04,Tamil Nadu,Tiruppur,1,1063,1585,1324.0,2648
2025-11-04,Tamil Nadu,Krishnagiri,1,1045,1542,1293.5,2587
2025-11-04,Tamil Nadu,Tiruvannamalai,1,1020,1562,1291.0,2582
2025-11-04,Andhra Pradesh,Nellore,1,1232,1346,1289.0,2578
2025-11-04,Maharashtra,Beed,4,5042,1248,1258.0,6290
2025-11-04,Maharashtra,Ratnagiri,1,1106,1379,1242.5,2485
2025-11-04,Tamil Nadu,Erode,1,1261,1215,1238.0,2476
2025-11-04,Bihar,Darbhanga,1,2106,318,1212.0,2424
2025-11-04,Telangana,Hyderabad,2,1127,2461,1196.0,3588
2025-11-04,West Bengal,Puruliya,1,1741,642,1191.5,2383
2025-11-04,Bihar,Araria,1,2232,137,1184.5,2369
2025-11-04,Kerala,Kozhikode,1,1304,1047,1175.5,2351
2025-11-04,Maharashtra,Palghar,2,2354,1071,1141.6666666666667,3425
2025-04-01,Maharashtra,Pune,69,12436,63875,1090.1571428571428,76311
2025-11-04,Kerala,Malappuram,3,2731,1618,1087.25,4349
2025-11-04,Maharashtra,Washim,1,1406,701,1053.5,2107
2025-11-04,Maharashtra,Nandurbar,1,676,1390,1033.0,2066
2025-11-04,Odisha,Ganjam,1,1013,1053,1033.0,2066
2025-11-04,Telangana,Nizamabad,1,678,1344,1011.0,2022
2025-11-04,Tamil Nadu,Villupuram,2,867,2140,1002.3333333333334,3007
2025-11-04,Telangana,Adilabad,1,782,1217,999.5,1999
2025-11-04,Bihar,Banka,1,1792,173,982.5,1965
2025-11-04,Bihar,Kishanganj,2,1948,825,924.3333333333334,2773
2025-11-04,Maharashtra,Mumbai Suburban,1,703,1130,916.5,1833
2025-11-04,Assam,Nagaon,1,747,1075,911.0,1822
2025-11-04,Bihar,West Champaran,4,4286,191,895.4,4477
